ticker,aum_usd,updated_date
SPY,646798237921.1426,2026-03-31
DIA,41503711631.46973,2026-03-31
GLD,156552836425.78125,2026-03-31
GLDM,29915970891.952515,2026-03-31
XLK,83383262359.92432,2026-03-31
XLF,47994278594.9707,2026-03-31
XLE,42878111897.27783,2026-03-31
XLV,38490545473.480225,2026-03-31
XLI,28096584533.233643,2026-03-31
XLY,21441175639.801025,2026-03-31
XLP,15412093945.922852,2026-03-31
XLRE,7315457646.560669,2026-03-31
XLB,6288358442.115784,2026-03-31
XLU,24091026781.463623,2026-03-31
XLC,24119972933.57849,2026-03-31
SRLN,4837461897.277832,2026-03-31
IWM,69647983654.78516,2026-03-31
IVV,716060956207.2754,2026-03-31
EFA,71087847747.80273,2026-03-31
EEM,24858791729.73633,2026-03-31
IEMG,129640400115.9668,2026-03-31
EWJ,17932824261.47461,2026-03-31
FXI,5898671823.120117,2026-03-31
EWZ,9698987310.791016,2026-03-31
INDA,623811014.3661499,2026-03-31
TLT,42694811416.62598,2026-03-31
IEF,48710687434.38721,2026-03-31
SHY,24761244232.177734,2026-03-31
AGG,138709224426.26953,2026-03-31
HYG,16004250262.451172,2026-03-31
LQD,29554102088.928223,2026-03-31
TIP,13973189884.185791,2026-03-31
EMB,14331187267.303467,2026-03-31
SLV,36799131834.41162,2026-03-31
GSG,1027003215.9805298,2026-03-31
IBIT,52857075094.75708,2026-03-31
SOXX,20483820922.851562,2026-03-31
ICLN,2143072391.5100098,2026-03-31
IBB,8105034793.85376,2026-03-31
QQQ,370589322821.0449,2026-03-31
VOO,807691861422.2063,2026-03-31
VTI,556757499272.2292,2026-03-31
VEA,203609745123.17078,2026-03-31
VWO,108955584913.36884,2026-03-31
BND,151574801504.78015,2026-03-31
BKLN,6244948780.059814,2026-03-31
JAAA,26755850898.742676,2026-03-31
IAU,71025427494.81201,2026-03-31
ARKK,5959368054.199219,2026-03-31
GDX,28104794673.423767,2026-03-31
GDXJ,8980771371.458221,2026-03-31
