date,ticker,shares,price
2026-03-28,AGG,1398800000,
2026-03-30,AGG,1398800000,99.04000091552734
2026-03-31,AGG,1396800000,99.33499908447266
2026-04-01,AGG,1396800000,
2026-04-02,AGG,1387400000,
2026-04-03,AGG,1381700000,
2026-04-06,AGG,1381700000,
2026-04-07,AGG,1373700000,
2026-04-08,AGG,1373200000,
2026-04-09,AGG,1364400000,
2026-04-10,AGG,1364400000,
2026-04-13,AGG,1364400000,
2026-04-14,AGG,1365300000,
2026-04-15,AGG,1365500000,
2026-04-16,AGG,1365800000,
2026-03-30,ARKK,88800000,63.52000045776367
2026-03-31,ARKK,88800000,67.30999755859375
2026-04-01,ARKK,88800000,
2026-04-02,ARKK,88800000,
2026-04-03,ARKK,88800000,
2026-04-06,ARKK,88800000,
2026-04-07,ARKK,87800000,
2026-04-08,ARKK,87750000,
2026-04-09,ARKK,86700000,
2026-04-10,ARKK,87000000,
2026-04-13,ARKK,86350000,
2026-04-14,ARKK,86500000,
2026-04-15,ARKK,87200000,
2026-04-16,ARKK,87200000,
2026-03-30,BKLN,305900000,20.309999465942383
2026-03-31,BKLN,305900000,20.420000076293945
2026-04-01,BKLN,305900000,
2026-04-02,BKLN,305900000,
2026-04-03,BKLN,305900000,
2026-04-06,BKLN,305900000,
2026-04-07,BKLN,307200000,
2026-04-08,BKLN,308300000,
2026-04-09,BKLN,308600000,
2026-04-10,BKLN,309200000,
2026-04-13,BKLN,311800000,
2026-04-14,BKLN,311800000,
2026-04-15,BKLN,312400000,
2026-04-16,BKLN,312800000,
2026-03-30,BND,2057623018,73.4800033569336
2026-03-31,BND,2057623018,73.68499755859375
2026-04-01,BND,2057623018,
2026-04-02,BND,2057623018,
2026-04-03,BND,2057623018,
2026-04-06,BND,2057623018,
2026-04-07,BND,2058723018,
2026-04-08,BND,2060023018,
2026-04-09,BND,2061423018,
2026-04-10,BND,2062223018,
2026-04-13,BND,2063123018,
2026-04-14,BND,2065523018,
2026-04-15,BND,2065323018,
2026-04-16,BND,2065323018,
2026-03-28,DIA,90190000,
2026-03-30,DIA,89940000,452.05999755859375
2026-03-31,DIA,89940000,461.6600036621094
2026-04-01,DIA,90140000,
2026-04-02,DIA,89690000,
2026-04-03,DIA,89690000,
2026-04-06,DIA,92290000,
2026-04-07,DIA,92240000,
2026-04-08,DIA,92140000,
2026-04-09,DIA,91890000,
2026-04-10,DIA,92440000,
2026-04-13,DIA,92040000,
2026-04-14,DIA,89640000,
2026-04-15,DIA,89640000,
2026-04-16,DIA,89640000,
2026-03-28,EEM,442800000,
2026-03-30,EEM,442800000,54.75
2026-03-31,EEM,442800000,56.20000076293945
2026-04-01,EEM,442800000,
2026-04-02,EEM,442800000,
2026-04-03,EEM,442800000,
2026-04-06,EEM,442800000,
2026-04-07,EEM,442800000,
2026-04-08,EEM,442800000,
2026-04-09,EEM,442800000,
2026-04-10,EEM,442800000,
2026-04-13,EEM,442800000,
2026-04-14,EEM,442800000,
2026-04-15,EEM,442800000,
2026-04-16,EEM,442800000,
2026-03-28,EFA,738000000,
2026-03-30,EFA,738000000,94.06999969482422
2026-03-31,EFA,738000000,96.37999725341795
2026-04-01,EFA,738000000,
2026-04-02,EFA,738000000,
2026-04-03,EFA,738000000,
2026-04-06,EFA,738000000,
2026-04-07,EFA,738000000,
2026-04-08,EFA,738000000,
2026-04-09,EFA,738000000,
2026-04-10,EFA,738000000,
2026-04-13,EFA,738000000,
2026-04-14,EFA,738000000,
2026-04-15,EFA,738000000,
2026-04-16,EFA,738000000,
2026-03-28,EMB,153400000,
2026-03-30,EMB,153400000,93.11000061035156
2026-03-31,EMB,152500000,93.98999786376952
2026-04-01,EMB,150900000,
2026-04-02,EMB,147700000,
2026-04-03,EMB,147700000,
2026-04-06,EMB,147700000,
2026-04-07,EMB,147700000,
2026-04-08,EMB,147700000,
2026-04-09,EMB,147100000,
2026-04-10,EMB,149600000,
2026-04-13,EMB,150400000,
2026-04-14,EMB,150900000,
2026-04-15,EMB,150700000,
2026-04-16,EMB,151200000,
2026-03-28,EWJ,220800000,
2026-03-30,EWJ,220800000,81.5199966430664
2026-03-31,EWJ,214200000,83.79000091552734
2026-04-01,EWJ,217200000,
2026-04-02,EWJ,220200000,
2026-04-03,EWJ,220200000,
2026-04-06,EWJ,220200000,
2026-04-07,EWJ,220200000,
2026-04-08,EWJ,220200000,
2026-04-09,EWJ,220200000,
2026-04-10,EWJ,225300000,
2026-04-13,EWJ,224400000,
2026-04-14,EWJ,224550000,
2026-04-15,EWJ,224550000,
2026-04-16,EWJ,225900000,
2026-03-28,EWZ,254600000,
2026-03-30,EWZ,254600000,36.77000045776367
2026-03-31,EWZ,254600000,38.150001525878906
2026-04-01,EWZ,254600000,
2026-04-02,EWZ,254600000,
2026-04-03,EWZ,254600000,
2026-04-06,EWZ,254600000,
2026-04-07,EWZ,255700000,
2026-04-08,EWZ,256900000,
2026-04-09,EWZ,256900000,
2026-04-10,EWZ,256900000,
2026-04-13,EWZ,259550000,
2026-04-14,EWZ,265400000,
2026-04-15,EWZ,273550000,
2026-04-16,EWZ,278550000,
2026-03-28,FXI,165600000,
2026-03-30,FXI,165600000,35.0
2026-03-31,FXI,165600000,35.630001068115234
2026-04-01,FXI,165600000,
